Frame,M00,M01,M02,M03,M10,M11,M12,M13,M20,M21,M22,M23,M30,M31,M32,M33
1.0,-0.09353863845030101,0.03520343064597279,-0.9949930862009133,0.0,0.8950025114238167,0.440763208832805,-0.06854413384433336,0.0,0.43614335677839305,-0.8969328359527057,-0.07273554927208606,0.0,-0.9716867208480835,0.5175234079360962,0.7062702178955078,1.0
2.0,-0.09390503100072477,0.03502249754977988,-0.9949649590905845,0.0,0.8941304151357509,0.442487967340097,-0.06881278579158948,0.0,0.43785002670083595,-0.8960902987001951,-0.07286652656379498,0.0,-0.9710366129875183,0.5170481204986572,0.706242561340332,1.0
3.0,-0.09495493393241264,0.034499369767075704,-0.9948835881687697,0.0,0.891605335861062,0.44743519737217613,-0.06958210414039233,0.0,0.44274539589472167,-0.8936506798734035,-0.0732460017736795,0.0,-0.9690691232681274,0.5155313014984131,0.7062119841575623,1.0
4.0,-0.0965951562573626,0.03366923076486151,-0.9947541197136699,0.0,0.8875947865489233,0.45515395254326974,-0.07078399801798567,0.0,0.4503830266326507,-0.8897759619049851,-0.07385030086107704,0.0,-0.9657617807388306,0.5129948854446411,0.7062368392944336,1.0
5.0,-0.09869952138256163,0.032574999653081804,-0.9945839702490962,0.0,0.8823184660075866,0.4650623279048859,-0.07232672884700261,0.0,0.46018749333382875,-0.8846784164662831,-0.07464295290137697,0.0,-0.9610990285873413,0.5096353888511658,0.7063585519790649,1.0
6.0,-0.10112834599348805,0.031275197187381885,-0.9943816770624405,0.0,0.8760449474329438,0.4765012622306371,-0.07410666076555128,0.0,0.4715064238309296,-0.8786173280407689,-0.07558626298916855,0.0,-0.9550923109054565,0.5057601928710938,0.7066035270690918,1.0
7.0,-0.10373892288439646,0.029832364611378274,-0.9941570629938103,0.0,0.8690818703150232,0.4887920479856849,-0.07601997445212186,0.0,0.48366821124457476,-0.8718901099609134,-0.07663352780486954,0.0,-0.9477776288986206,0.5017178654670715,0.7069956064224243,1.0
8.0,-0.10639424690554547,0.02831482640612752,-0.9939207890123803,0.0,0.8617573023769971,0.501293989856851,-0.07796593828923121,0.0,0.4960389259174351,-0.8648136252042922,-0.07773530495011322,0.0,-0.9392228722572327,0.4978250563144684,0.7075604200363159,1.0
9.0,-0.10897653383370512,0.02678862539956342,-0.9936832919108549,0.0,0.8543937216538948,0.5134529879092025,-0.0798586100900786,0.0,0.5080703528764478,-0.8576994804454029,-0.07884236026202922,0.0,-0.9295129776000977,0.49430811405181885,0.708339512348175,1.0
10.0,-0.11139070579809972,0.025316796352200095,-0.9934541612395925,0.0,0.8472905397557563,0.524819619757689,-0.08162786263154483,0.0,0.5193176791735485,-0.8508368977306144,-0.07991070990764147,0.0,-0.9187411069869995,0.4912557303905487,0.7093868851661682,1.0
11.0,-0.11356500277615654,0.023952101658874247,-0.9932418068982873,0.0,0.840705910712324,0.5350586580867785,-0.08322141611230588,0.0,0.5294493005357674,-0.8444752981778086,-0.08090061142962962,0.0,-0.906995415687561,0.4885854423046112,0.7107745409011841,1.0
12.0,-0.11548982586947419,0.022713501654355466,-0.9930489398631047,0.0,0.8347269214108713,0.5441216946000978,-0.0846318387927784,0.0,0.5384171865687123,-0.8386988007074503,-0.08180009107156938,0.0,-0.8927709460258484,0.4856652021408081,0.7122921943664551,1.0
13.0,-0.11717846564508236,0.02160146152050218,-0.9928759157363234,0.0,0.8293607560001808,0.5520753527750164,-0.08586932668392097,0.0,0.546287418485794,-0.833514356036247,-0.08260674721599646,0.0,-0.8746483325958252,0.4823203682899475,0.7136579155921936,1.0
