Frame,M00,M01,M02,M03,M10,M11,M12,M13,M20,M21,M22,M23,M30,M31,M32,M33
1.0,0.3136829077395203,0.7960242589634415,-0.5176373368815115,0.0,0.2193461169096045,0.4696593773419051,0.8551651011772478,0.0,0.9238453952847075,-0.3817924153470284,-0.02728071103773496,0.0,0.45133447647094727,1.5847609043121338,0.03668110817670822,1.0
2.0,0.31361211333657085,0.7960433049417074,-0.5176509432291742,0.0,0.21930726895180042,0.4696922924410347,0.8551569868780751,0.0,0.9238786522879899,-0.38171220451928095,-0.027276890723799564,0.0,0.455456018447876,1.5862491130828857,0.0371415950357914,1.0
3.0,0.31338805009295106,0.7961197757382396,-0.5176690378392679,0.0,0.21917659577373225,0.46977280237853786,0.8551462646883591,0.0,0.923985687077444,-0.38145355788602964,-0.027269639750343293,0.0,0.4671444892883301,1.590401530265808,0.03845050558447838,1.0
4.0,0.3130184398623907,0.7962398527759469,-0.5177079805811897,0.0,0.21893306442065336,0.4699268048250492,0.8551240327638454,0.0,0.9241686911000052,-0.3810129852882427,-0.027227475686232804,0.0,0.48538637161254883,1.5967483520507812,0.040515147149562836,1.0
5.0,0.3124973953489371,0.7964220032645802,-0.5177425717633843,0.0,0.21856546623697476,0.47013181364998785,0.8551053822557703,0.0,0.9244319958053941,-0.3803788512919799,-0.027155379228615363,0.0,0.5091660022735596,1.6048204898834229,0.04325920715928078,1.0
6.0,0.31182329693436606,0.7966654189702738,-0.5177745085516477,0.0,0.2180181750161475,0.47041218984551597,0.8550908998506386,0.0,0.9247887904011439,-0.37952151699431286,-0.02700206078662992,0.0,0.537470281124115,1.6141438484191895,0.046618908643722534,1.0
7.0,0.31099088941781644,0.79698112129109,-0.5177892998167423,0.0,0.21730713459266268,0.4707453541926507,0.8550885455677454,0.0,0.925236335189146,-0.37844405638301765,-0.026792167402536655,0.0,0.5692840218544006,1.6242555379867554,0.05053957551717758,1.0
8.0,0.3100160746495914,0.7973486330519165,-0.5178080636964814,0.0,0.21640301473463433,0.4711646403665899,0.8550869060405404,0.0,0.9257752257824903,-0.37714591213277443,-0.026480035666837792,0.0,0.603593647480011,1.6346862316131592,0.05497263744473457,1.0
9.0,0.30918752833609825,0.798604849616499,-0.5163655357306716,0.0,0.21420889198446344,0.47053427688461,0.8559860074040145,0.0,0.9265622606798762,-0.3752702871873634,-0.025584929902403446,0.0,0.6392583847045898,1.6450705528259277,0.06083230674266815,1.0
10.0,0.3086849290406174,0.8013464676459062,-0.5124036039828542,0.0,0.20996489645979818,0.46801489806144075,0.8584152826267514,0.0,0.9277005749905597,-0.3725666302609076,-0.023785482509650135,0.0,0.6751608848571777,1.655022144317627,0.06878963857889175,1.0
11.0,0.3084165851309576,0.8052188109215933,-0.5064601431052339,0.0,0.20402113480686213,0.46403154991124257,0.8620035366743517,0.0,0.9291149479845208,-0.3691847602826873,-0.021166629555404628,0.0,0.7103195190429688,1.6640114784240723,0.07843382656574249,1.0
12.0,0.30637179712221946,0.8088195851122185,-0.5019434237710466,0.0,0.19983251857186518,0.46090256953048503,0.8646593467495864,0.0,0.9307004278764067,-0.3652118565149483,-0.02042090623792227,0.0,0.7478411197662354,1.671553611755371,0.08521485328674316,1.0
13.0,0.30198656002065233,0.8105223509112522,-0.501854198189265,0.0,0.1987881627386711,0.46132045732360494,0.8646772241765845,0.0,0.9323558247374639,-0.36088357447802605,-0.021809671021966685,0.0,0.7902601361274719,1.677195429801941,0.08603406697511673,1.0
14.0,0.2961470779245125,0.8103021953912883,-0.5056750541413241,0.0,0.19926384388846619,0.46536055359842465,0.8623998351538346,0.0,0.9341257028663571,-0.35615994623009783,-0.023648762035424133,0.0,0.8356389999389648,1.6804901361465454,0.08223265409469604,1.0
15.0,0.2885744661188508,0.8089048664550219,-0.5122476886522802,0.0,0.20127373736174342,0.47180228638957716,0.8584238377433397,0.0,0.9360628505355055,-0.3508212074304383,-0.026661212732978848,0.0,0.8820430040359497,1.6797293424606323,0.07457096874713898,1.0
16.0,0.27894726232332867,0.8071892135721529,-0.5202249497429833,0.0,0.20534455731464232,0.4790608049883364,0.8534250745702173,0.0,0.9380948979839798,-0.3448859501584496,-0.03211921169222155,0.0,0.9276195168495178,1.6747186183929443,0.06371816992759705,1.0
17.0,0.26796269576465287,0.805412655127739,-0.5286836943188489,0.0,0.21070017589252776,0.48647687601040196,0.8479066487450242,0.0,0.9401071372760649,-0.3386010987389821,-0.03934293297856833,0.0,0.9706049561500549,1.6665931940078735,0.05074765533208847,1.0
18.0,0.25722021443333865,0.8032054789286892,-0.537306914068489,0.0,0.21540082246285086,0.49437163432059034,0.8421396397638079,0.0,0.9420404699211148,-0.33235168992819,-0.04584874297820535,0.0,1.009340524673462,1.655992031097412,0.03709353879094124,1.0
19.0,0.248584198032925,0.7999757876401441,-0.546117785535189,0.0,0.21690385155276687,0.5035226729355012,0.8363119256721523,0.0,0.9440119785627208,-0.3263489804326335,-0.04835004964503925,0.0,1.0422935485839844,1.6433745622634888,0.02430814690887928,1.0
20.0,0.2435803224941727,0.7940392776213939,-0.5569293061853811,0.0,0.21354018656501228,0.5162273946580394,0.8294033190953318,0.0,0.9460809770920323,-0.32095311588932723,-0.04381646021208824,0.0,1.068027138710022,1.6290919780731201,0.012775823473930359,1.0
21.0,0.2440661881498255,0.7844503543664554,-0.5701485221732637,0.0,0.20290948798245326,0.5336051468824915,0.8210318428095305,0.0,0.9482929059571799,-0.3160746569322781,-0.02893744557541408,0.0,1.0850930213928223,1.6137436628341675,0.0036653056740760803,1.0
22.0,0.24306202439442537,0.7728537228880733,-0.586189368135698,0.0,0.19365834452231026,0.5534831571639085,0.8100326168326499,0.0,0.9504826657515443,-0.3104086302825961,-0.015138835883931098,0.0,1.094213604927063,1.597521424293518,-0.008732743561267853,1.0
23.0,0.23079045487799638,0.7613991034861813,-0.6058111678961084,0.0,0.19684599307753434,0.5732086344568106,0.7954140534297077,0.0,0.9528837394701029,-0.3028254721693635,-0.01758728116779925,0.0,1.0977554321289062,1.5820832252502441,-0.03152012079954147,1.0
24.0,0.2064599647817048,0.751190989298274,-0.6269660122681433,0.0,0.21190313617605058,0.5912366850677276,0.7781620930814344,0.0,0.9552336592798075,-0.2935153826074624,-0.03711302132275935,0.0,1.0965673923492432,1.56938636302948,-0.06361976265907288,1.0
